A,B,C,F1,FiltAcc_Wnpt6qPPN6,FiltAcc_awNDIvPD46,FiltAcc_cNZo60qKnr,FiltAcc_rSHbSSd7cu,LAGRANGE_0_16,LAGRANGE_15_16,__quotient,loom@challenge_0,loom@challenge_1,loom@challenge_2
0,1,1,0,0,1,0,1,1,0,786211431,1917949361,2086866376,1762934995
1,1,2,1,1,1917949362,1,1917949363,0,0,1942684799,1917949361,2086866376,1762934995
1,2,3,1,1917949362,250856646,1917949363,38099575,0,0,13799832,1917949361,2086866376,1762934995
2,3,5,1,250856646,876788942,38099575,1127645588,0,0,85595243,1917949361,2086866376,1762934995
3,5,8,1,876788942,1848351561,1127645588,594434070,0,0,772332022,1917949361,2086866376,1762934995
5,8,13,1,1848351561,1416983803,594434070,1134628931,0,0,590223067,1917949361,2086866376,1762934995
8,13,21,1,1416983803,78674515,1134628931,1495658318,0,0,443171374,1917949361,2086866376,1762934995
13,21,34,1,78674515,1816217383,1495658318,1894891898,0,0,821293320,1917949361,2086866376,1762934995
21,34,55,1,1816217383,745594308,1894891898,431105258,0,0,419443850,1917949361,2086866376,1762934995
34,55,89,1,745594308,1377799711,431105258,2123394019,0,0,1469096826,1917949361,2086866376,1762934995
55,89,144,1,1377799711,1282147229,2123394019,529240507,0,0,410507172,1917949361,2086866376,1762934995
89,144,233,1,1282147229,1789616945,529240507,941057741,0,0,1256544524,1917949361,2086866376,1762934995
144,233,377,1,1789616945,901214186,941057741,560124698,0,0,1053888819,1917949361,2086866376,1762934995
233,377,610,1,901214186,161956622,560124698,1063170808,0,0,1219531883,1917949361,2086866376,1762934995
377,610,987,1,161956622,1265239350,1063170808,1427195972,0,0,1018688813,1917949361,2086866376,1762934995
610,987,1597,1,1265239350,1265239350,1427195972,1427195972,0,1,1894221468,1917949361,2086866376,1762934995
